Date,days,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
20180102,91,0.09382,0.113245,-999,0.156231,0.155791,0.109238,0.131135,0.108643,0.137352,0.128141,0.103743,0.111835
20180103,91,0.092813,0.123072,-999,0.16118,0.154843,0.108616,0.12977,0.105239,0.130735,0.130218,0.10654,0.112485
20180104,91,0.093825,0.125046,-999,0.155176,0.155754,0.107786,0.1305,0.10322,0.141515,0.128433,0.108215,0.110922
20180105,91,0.094872,0.124996,-999,0.151078,0.150618,0.107622,0.128594,0.100529,0.138916,0.124259,0.108905,0.111782
20180108,91,0.095998,0.129281,-999,0.15025,0.154119,0.113512,0.133428,0.099108,0.139603,0.132653,0.109446,0.113994
20180109,91,0.096283,0.126691,-999,0.147227,0.157584,0.112203,0.13388,0.097826,0.145674,0.131047,0.107162,0.115561
20180110,91,0.094818,0.125386,-999,0.148809,0.157366,0.112961,0.136579,0.102949,0.147328,0.129263,0.10833,0.116074
20180111,91,0.091186,0.120569,-999,0.153001,0.149589,0.112542,0.136711,0.099974,0.138348,0.127785,0.105996,0.113519
20180112,91,0.093017,0.12824,-999,0.150127,0.149638,0.116277,0.136038,0.09887,0.139138,0.133347,0.106924,0.11569
20180116,91,0.104958,0.132347,-999,0.157925,0.161961,0.131786,0.146744,0.105571,0.146782,0.143698,0.116809,0.131261
20180117,91,0.102448,0.135167,-999,0.159272,0.155772,0.131185,0.146275,0.106404,0.139387,0.145541,0.115949,0.130958
20180118,91,0.107555,0.137283,-999,0.160455,0.157798,0.130946,0.15254,0.111936,0.139805,0.1451,0.1207,0.129718
20180119,91,0.101917,0.132586,-999,0.151517,0.149731,0.125906,0.146823,0.109105,0.13712,0.144143,0.116052,0.12546
20180122,91,0.104511,0.133066,-999,0.159861,0.147338,0.128621,0.147375,0.106747,0.136131,0.148673,0.115022,0.127524
20180123,91,0.109088,0.138675,-999,0.16712,0.154973,0.131935,0.156949,0.111069,0.13784,0.149992,0.121468,0.134749
20180124,91,0.112328,0.139814,-999,0.17338,0.161344,0.134986,0.163767,0.1127,0.144629,0.148566,0.124686,0.13758
20180125,91,0.111691,0.142493,-999,0.172572,0.159881,0.134473,0.162174,0.112107,0.141479,0.145045,0.125344,0.137436
20180126,91,0.108614,0.138941,-999,0.170878,0.1579,0.132165,0.158583,0.111311,0.138445,0.143335,0.12548,0.136598
20180129,91,0.124898,0.148302,-999,0.182501,0.172284,0.1448,0.177121,0.119395,0.149225,0.151697,0.137429,0.148879
20180130,91,0.129941,0.151727,-999,0.185111,0.177256,0.148917,0.176066,0.121871,0.154482,0.151166,0.144712,0.151974
20180131,91,0.125514,0.149483,-999,0.182852,0.17208,0.144455,0.171138,0.119631,0.143237,0.144199,0.143169,0.152166
20180201,91,0.122178,0.143888,-999,0.180154,0.162757,0.142113,0.167163,0.112058,0.153832,0.146453,0.134432,0.151307
20180202,91,0.142356,0.158886,-999,0.191075,0.181056,0.154003,0.176256,0.124614,0.162139,0.150476,0.149226,0.164202
20180205,91,0.229068,0.231252,-999,0.230399,0.234797,0.202591,0.233384,0.172149,0.192821,0.168587,0.201651,0.213931
20180206,91,0.167558,0.183577,-999,0.218541,0.212929,0.176767,0.189209,0.146852,0.200361,0.165828,0.175346,0.176458
20180207,91,0.167322,0.18494,-999,0.219161,0.204552,0.175022,0.198139,0.155281,0.19209,0.171925,0.175469,0.183844
20180208,91,0.22853,0.223239,-999,0.239671,0.239317,0.216113,0.245488,0.172538,0.280978,0.181974,0.218637,0.217432
20180209,91,0.197295,0.207736,-999,0.240215,0.22577,0.201474,0.234648,0.174054,0.202386,0.180585,0.210474,0.208291
20180212,91,0.172628,0.192373,-999,0.228778,0.210933,0.188966,0.20457,0.16015,0.19205,0.175315,0.188317,0.193304
20180213,91,0.171035,0.190238,-999,0.221703,0.20288,0.181467,0.198307,0.155717,0.201521,0.173704,0.184274,0.188095
20180214,91,0.15341,0.17762,-999,0.213485,0.181413,0.168125,0.181715,0.147363,0.182323,0.165891,0.173868,0.169911
20180215,91,0.145313,0.172794,-999,0.204613,0.180384,0.162019,0.174363,0.132898,0.173964,0.160158,0.160169,0.161015
