Date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
20000103,145.4375,25.96875,-999,26.5625,22.875,28.84375,55.4375,22.75,-999,27.45313,30.29688,30.125
20000104,139.75,25.71875,-999,26.0625,21.875,28.04688,52.625,22.10938,-999,26.625,29.60938,29.21875
20000105,140,26.78125,-999,26.75,21.70313,27.92188,51.84375,22.5,-999,27.29688,29.34375,28.85938
20000106,137.75,27.46875,-999,27.78125,22.65625,28.29688,50.125,22.92188,-999,27.25,29.4375,29.1875
20000107,145.75,27.45313,-999,28.07813,23.03125,29.375,51,24.375,-999,27.48438,29.79688,30.5625
20000110,146.25,27.35938,-999,27.84375,22.625,29.375,52.9375,23.82813,-999,27.57813,32.84375,30.40625
20000111,144.3125,27.03125,-999,27.875,22.25,29,51.4375,23.82813,-999,27.28125,31.96875,30.23438
20000112,143.0625,26.64063,-999,27.75,22.6875,28.65625,51.21875,23.95313,-999,27,31.4375,30.0625
20000113,145,26.75,-999,28.23438,23.375,29.20313,51.6875,24.07813,-999,26.75,32.375,30.21875
20000114,146.96875,26.5625,-999,28.0625,23.92188,29,52.875,24.15625,-999,26.96875,32.09375,30.14063
20000118,145.8125,25.92188,-999,28.40625,23.125,28.96875,53.15625,23.75,-999,26.85938,31.5,29.96875
20000119,146.25,25.42188,-999,28.3125,23.04688,28.875,53.25,23.92188,-999,26.875,32.25,29.90625
20000120,144.75,24.75,-999,28.3125,22.625,28.6875,53.5625,23.59375,-999,27,32,29.5
20000121,144.4375,24.85938,-999,29.09375,22.34375,28.32813,53.625,23.32813,-999,27.875,31.9375,28.89063
20000124,140.34375,24.20313,-999,28.0625,21.9375,27.51563,51.875,22.65625,-999,27.5,30.98438,27.8125
20000125,141.9375,23.75,-999,28,22.17188,27.35938,52.98438,22.375,-999,26.85938,31.20313,27.98438
20000126,140.8125,23.75,-999,27.5625,23,27.57813,51.25,22.57813,-999,26.73438,31.0625,28.1875
20000127,140.25,23.875,-999,27,23.25,27.73438,50.75,23,-999,26.5625,30.875,28.10938
20000128,135.875,23.46875,-999,26.6875,22.4375,27,48.9375,22.8125,-999,26.42188,30.25,27
